site_id,lat,lon,tier
J166,37.40537810202709,-122.09721462784884,3
J167,37.39264993813976,-122.09509600280286,3
J168,37.39209157743465,-122.08104679050852,5
J169,37.38900296844845,-122.08254649064862,3
J170,37.38874050020906,-122.08112189972256,3
J171,37.38771489301112,-122.08233206929849,3
J172,37.39122427803919,-122.08236145480691,3
J173,37.38231719563526,-122.06862588361685,3
J174,37.400181197156435,-122.06669579471318,3
J175,37.413974795620334,-122.07949384719348,5
J176,37.41549082377308,-122.07995837672381,3
J177,37.42852095692696,-122.07948048475299,3
J178,37.43186975314275,-122.08753819644487,3
J179,37.431145717593935,-122.08597529850462,3
J180,37.43131147706439,-122.08466201308771,3
J181,37.389834538639974,-122.08391117923144,3
J182,37.3994170974842,-122.07494155194382,3
J183,37.38081875949891,-122.07183221202278,5
J184,37.380780546815636,-122.0712478496092,5
J185,37.394918536914034,-122.05477696404492,3
J186,37.39480355623046,-122.05318655157294,3
J187,37.38969253770974,-122.0698456141279,3
J188,37.390711811226936,-122.07203250615309,3
J189,37.39108357188818,-122.07167524439967,3
J190,37.39060189622448,-122.07079942556668,3
J191,37.38876570172761,-122.07126292483163,3
J192,37.389623195928614,-122.07077306960807,3
J193,37.38913063027338,-122.07101676963259,3
J194,37.40220705657907,-122.11242839616169,3
J195,37.403842479646,-122.06005645557299,5
J196,37.403883976581916,-122.06022806724226,5
J197,37.40444073788338,-122.05982105070977,5
J198,37.3739582272775,-122.08627556443066,3
J199,37.38222978460552,-122.08502407188479,3
J200,37.37482077481552,-122.08613973326621,3
J201,37.400272621426474,-122.11062101064623,3
J202,37.401199347633906,-122.10670736217928,3
J203,37.40291762477403,-122.10710215020688,3
J204,37.400813008846306,-122.11149377579164,3
J205,37.40412496828678,-122.10780739218872,3
J206,37.40194824669199,-122.11048149941774,3
J207,37.40328839676139,-122.10936020433753,3
J208,37.39401171279466,-122.07798779066592,1
J209,37.40131103753877,-122.11241634934014,3
J210,37.40402959585911,-122.09755265396262,3
J211,37.38000780033316,-122.07501014946068,3
J212,37.37908921410858,-122.07479669589294,3
J213,37.4027518053107,-122.07890566594905,3
J214,37.395170916597976,-122.09980027475493,3
J215,37.39555627307097,-122.09950148745484,3
J216,37.39053784831724,-122.0951852344047,3
J217,37.37768863540171,-122.07591531653361,3
J218,37.391453857590925,-122.07298270550527,3
J219,37.39122494836445,-122.07220283154082,3
J220,37.39133639214921,-122.0727522377142,3
J221,37.39243420405317,-122.06365017941124,3
J222,37.392941517512384,-122.06294890311959,3
J223,37.39403824987334,-122.06298645024552,3
J224,37.3947681508361,-122.06279183104739,3
J225,37.392282777607676,-122.06370825704543,3
J226,37.395140132255435,-122.06264750099565,3
J227,37.39435515022954,-122.06270104983564,3
J228,37.39447321893933,-122.06266242006058,3
J229,37.426263391586524,-122.07608064442502,3
J230,37.427310465730976,-122.07684486931954,3
J231,37.39250556422876,-122.07658972575557,3
J232,37.38130507406793,-122.07427391940485,3
J233,37.38162223748232,-122.0740462196741,3
J234,37.404070192750275,-122.07601397902565,5
J235,37.40307205159865,-122.05439329583612,3
J236,37.39385586646949,-122.05985836787951,3
J237,37.39499104840688,-122.06135979338198,3
J238,37.395898218720156,-122.05131713197214,5
J239,37.380040385162125,-122.09479594291878,3
J240,37.3985472511824,-122.07288481112754,5
J241,37.399135297071076,-122.0714483883247,5
J242,37.39949694864009,-122.07277862478698,5
J243,37.397966675891965,-122.0703253128875,5
J244,37.399190391132116,-122.0738443203947,5
J245,37.40439580636928,-122.1050581767498,3
